Date,State_Code,Sex,Race,Hispanic,Age_Group,Disability_Status,Education_Group,Veteran_Status,Employment_Status,Labor_Force_Status,Number_of_Persons
2023-07-01,10,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,799.0
2023-07-01,10,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1998.0
2023-07-01,10,Male,White,Hispanic,0-20,Disabled,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,889.0
2023-07-01,10,Male,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,906.0
2023-07-01,10,Male,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,906.0
2023-07-01,10,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,868.0
2023-07-01,10,Female,Black or African American,Non-Hispanic,0-20,Disabled,High School,Non-Veteran,Unemployed,In Civilian Labor Force,1181.0
2023-07-01,10,Female,Black or African American,Non-Hispanic,0-20,Disabled,Less than High School,Non-Veteran,Unemployed,In Civilian Labor Force,1181.0
2023-07-01,10,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,1198.0
2023-07-01,10,Male,Black or African American,Non-Hispanic,0-20,Disabled,High School,Non-Veteran,Unemployed,In Civilian Labor Force,907.0
2023-07-01,10,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,1484.0
2023-07-01,10,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Unemployed,In Civilian Labor Force,1577.0
2023-07-01,11,Female,Asian,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,495.0
2023-07-01,11,Female,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,689.0
2023-07-01,11,Female,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,474.0
2023-07-01,11,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,944.0
2023-07-01,11,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,366.0
2023-07-01,11,Male,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,884.0
2023-07-01,11,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,2651.0
2023-07-01,11,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,1367.0
2023-07-01,11,Male,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,407.0
2023-07-01,11,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,405.0
2023-07-01,11,Male,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,405.0
2023-07-01,11,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,432.0
2023-07-01,11,Female,Black or African American,Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1124.0
2023-07-01,11,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1739.0
2023-07-01,11,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,819.0
2023-07-01,11,Female,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,390.0
2023-07-01,11,Female,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,453.0
2023-07-01,11,Female,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,506.0
2023-07-01,11,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,424.0
2023-07-01,11,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1418.0
2023-07-01,11,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,624.0
2023-07-01,11,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,656.0
2023-07-01,11,Male,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,465.0
2023-07-01,11,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,693.0
2023-07-01,11,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,747.0
2023-07-01,11,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Unemployed,In Civilian Labor Force,430.0
2023-07-01,12,Female,Asian,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,3755.0
2023-07-01,12,Female,Black or African American,Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,9458.0
2023-07-01,12,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,9525.0
2023-07-01,12,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,5315.0
2023-07-01,12,Female,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,33939.0
2023-07-01,12,Female,White,Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,16008.0
2023-07-01,12,Female,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,23217.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,Disabled,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,5473.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,4794.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,35365.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,High School,Veteran,Employed,In Civilian Labor Force,4844.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,20544.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,13312.0
2023-07-01,12,Male,Asian,Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,14437.0
2023-07-01,12,Male,Black or African American,Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,12632.0
2023-07-01,12,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,12261.0
2023-07-01,12,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,11177.0
2023-07-01,12,Male,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,21303.0
2023-07-01,12,Male,White,Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,3654.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,Disabled,High School,Non-Veteran,Employed,In Civilian Labor Force,5553.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,4162.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,33248.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,22709.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,23724.0
2023-07-01,12,Female,Asian,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4810.0
2023-07-01,12,Female,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,11034.0
2023-07-01,12,Female,Asian,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,8412.0
2023-07-01,12,Female,Black or African American,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,7176.0
2023-07-01,12,Female,Black or African American,Non-Hispanic,0-20,Disabled,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,8839.0
2023-07-01,12,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,10595.0
2023-07-01,12,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,9104.0
2023-07-01,12,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,10424.0
2023-07-01,12,Female,White,Hispanic,0-20,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,5802.0
2023-07-01,12,Female,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4334.0
2023-07-01,12,Female,White,Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,39119.0
2023-07-01,12,Female,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,42012.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,55119.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,15722.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,33451.0
2023-07-01,12,Male,Asian,Non-Hispanic,0-20,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,3765.0
2023-07-01,12,Male,Asian,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,3432.0
2023-07-01,12,Male,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,12436.0
2023-07-01,12,Male,Black or African American,Non-Hispanic,0-20,Disabled,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,19733.0
2023-07-01,12,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,25670.0
2023-07-01,12,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,30225.0
2023-07-01,12,Male,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,24059.0
2023-07-01,12,Male,White,Hispanic,0-20,No Disability,High School,Veteran,Not in labor force,Not In Civilian Labor Force,4959.0
2023-07-01,12,Male,White,Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,15451.0
2023-07-01,12,Male,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,30936.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4134.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,Disabled,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,9954.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,41918.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,20443.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Veteran,Not in labor force,Not In Civilian Labor Force,4161.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,43796.0
2023-07-01,12,Female,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,5363.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,Bachelors degree,Non-Veteran,Unemployed,In Civilian Labor Force,4583.0
2023-07-01,12,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Unemployed,In Civilian Labor Force,8424.0
2023-07-01,12,Male,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Unemployed,In Civilian Labor Force,4277.0
2023-07-01,12,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,5364.0
2023-07-01,12,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Unemployed,In Civilian Labor Force,6392.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,4139.0
2023-07-01,12,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Unemployed,In Civilian Labor Force,5444.0
2023-07-01,13,Female,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,13835.0
2023-07-01,13,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,21505.0
2023-07-01,13,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,24335.0
2023-07-01,13,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,22282.0
2023-07-01,13,Female,White,Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,5285.0
2023-07-01,13,Female,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,10382.0
2023-07-01,13,Female,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,7065.0
2023-07-01,13,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,27240.0
2023-07-01,13,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,8431.0
2023-07-01,13,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,12984.0
2023-07-01,13,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,5180.0
2023-07-01,13,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,7119.0
2023-07-01,13,Male,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,7493.0
2023-07-01,13,Male,White,Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,5635.0
2023-07-01,13,Male,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,3747.0
2023-07-01,13,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,32684.0
2023-07-01,13,Male,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,22843.0
2023-07-01,13,Female,Asian,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,6867.0
2023-07-01,13,Female,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,12001.0
2023-07-01,13,Female,Asian,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,5116.0
2023-07-01,13,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,13096.0
2023-07-01,13,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,10590.0
2023-07-01,13,Female,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,11163.0
2023-07-01,13,Female,White,Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,7112.0
2023-07-01,13,Female,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,24120.0
2023-07-01,13,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,10741.0
2023-07-01,13,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4055.0
2023-07-01,13,Male,Asian,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,3519.0
2023-07-01,13,Male,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,5153.0
2023-07-01,13,Male,Black or African American,Non-Hispanic,0-20,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,12359.0
2023-07-01,13,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,22363.0
2023-07-01,13,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,54015.0
2023-07-01,13,Male,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,12133.0
2023-07-01,13,Male,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4612.0
2023-07-01,13,Male,White,Non-Hispanic,0-20,Disabled,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,6245.0
2023-07-01,13,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,12332.0
2023-07-01,13,Male,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,12694.0
2023-07-01,13,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,16391.0
2023-07-01,13,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,6307.0
2023-07-01,13,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Unemployed,In Civilian Labor Force,5648.0
2023-07-01,13,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Unemployed,In Civilian Labor Force,3904.0
2023-07-01,13,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,11857.0
2023-07-01,15,Female,Asian,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,815.0
2023-07-01,15,Female,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,2373.0
2023-07-01,15,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,1100.0
2023-07-01,15,Female,Native Hawaiian and Other Pacific Islander,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,1807.0
2023-07-01,15,Female,Native Hawaiian and Other Pacific Islander,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,1593.0
2023-07-01,15,Female,Two or More Races,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,1823.0
2023-07-01,15,Female,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,1924.0
2023-07-01,15,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,1548.0
